"FileName","InputType","RecordingDuration","nIPIReps","minGoodProb","AllIPIs","IPImin_ms","IPImax_ms","CompletionStatus","ExecutionTime_s","ClicksFound","ClicksPassed","ClickPassRate","RecordingSubdirectory"
"9242.250721084809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",387,3,0,0,"BonavistaBay_2025-07"
"9242.250721085309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",392,1,0,0,"BonavistaBay_2025-07"
"9242.250721085809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",396,0,0,NA,"BonavistaBay_2025-07"
"9242.250721090309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",399,3,0,0,"BonavistaBay_2025-07"
"9242.250721090809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",403,6,0,0,"BonavistaBay_2025-07"
"9242.250721091309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",406,5,0,0,"BonavistaBay_2025-07"
"9242.250721091809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",409,1,0,0,"BonavistaBay_2025-07"
"9242.250721092309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",413,2,0,0,"BonavistaBay_2025-07"
"9242.250721092809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",417,3,0,0,"BonavistaBay_2025-07"
"9242.250721093309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",420,13,0,0,"BonavistaBay_2025-07"
"9242.250721093809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",424,9,0,0,"BonavistaBay_2025-07"
"9242.250721094309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",428,2,0,0,"BonavistaBay_2025-07"
"9242.250721094809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",431,9,0,0,"BonavistaBay_2025-07"
"9242.250721095309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",434,12,0,0,"BonavistaBay_2025-07"
"9242.250721095809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",438,12,0,0,"BonavistaBay_2025-07"
"9242.250721100309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",441,7,0,0,"BonavistaBay_2025-07"
"9242.250721100809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",444,10,0,0,"BonavistaBay_2025-07"
"9242.250721101309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",448,34,0,0,"BonavistaBay_2025-07"
"9242.250721101809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",452,27,0,0,"BonavistaBay_2025-07"
"9242.250721102309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",455,14,0,0,"BonavistaBay_2025-07"
"9242.250721102809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",460,32,0,0,"BonavistaBay_2025-07"
"9242.250721103309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",466,158,0,0,"BonavistaBay_2025-07"
"9242.250721103809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",470,18,0,0,"BonavistaBay_2025-07"
"9242.250721104309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",474,94,0,0,"BonavistaBay_2025-07"
"9242.250721104809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",480,144,0,0,"BonavistaBay_2025-07"
"9242.250721105309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",484,32,0,0,"BonavistaBay_2025-07"
"9242.250721105809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",488,71,0,0,"BonavistaBay_2025-07"
"9242.250721110309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",493,110,0,0,"BonavistaBay_2025-07"
"9242.250721110809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",496,14,0,0,"BonavistaBay_2025-07"
"9242.250721111309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",500,47,0,0,"BonavistaBay_2025-07"
"9242.250721111809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",504,10,0,0,"BonavistaBay_2025-07"
"9242.250721112309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",510,141,0,0,"BonavistaBay_2025-07"
"9242.250721112809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",515,27,0,0,"BonavistaBay_2025-07"
"9242.250721113309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",518,3,0,0,"BonavistaBay_2025-07"
"9242.250721113809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",521,1,0,0,"BonavistaBay_2025-07"
"9242.250721114309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",525,4,0,0,"BonavistaBay_2025-07"
"9242.250721114809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",528,1,0,0,"BonavistaBay_2025-07"
"9242.250721115309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",531,2,0,0,"BonavistaBay_2025-07"
"9242.250721115809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",536,5,0,0,"BonavistaBay_2025-07"
"9242.250721120309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",540,1,0,0,"BonavistaBay_2025-07"
"9242.250721120809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",544,4,0,0,"BonavistaBay_2025-07"
"9242.250721121309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",547,2,0,0,"BonavistaBay_2025-07"
"9242.250721121809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",551,2,0,0,"BonavistaBay_2025-07"
"9242.250721122309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",555,4,0,0,"BonavistaBay_2025-07"
"9242.250721122809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",558,3,0,0,"BonavistaBay_2025-07"
"9242.250721123309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",561,15,0,0,"BonavistaBay_2025-07"
"9242.250721123809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",567,122,0,0,"BonavistaBay_2025-07"
"9242.250721124309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",570,20,0,0,"BonavistaBay_2025-07"
"9242.250721124809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",574,54,0,0,"BonavistaBay_2025-07"
"9242.250721125309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",579,137,0,0,"BonavistaBay_2025-07"
"9242.250721125809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",583,77,0,0,"BonavistaBay_2025-07"
"9242.250721130309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",586,17,0,0,"BonavistaBay_2025-07"
"9242.250721130809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",593,256,0,0,"BonavistaBay_2025-07"
"9242.250721131309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",596,29,0,0,"BonavistaBay_2025-07"
"9242.250721131809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",600,2,0,0,"BonavistaBay_2025-07"
"9242.250721132309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",604,1,0,0,"BonavistaBay_2025-07"
"9242.250721132809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",607,2,0,0,"BonavistaBay_2025-07"
"9242.250721133309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",611,8,0,0,"BonavistaBay_2025-07"
"9242.250721133809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",615,4,0,0,"BonavistaBay_2025-07"
"9242.250721134309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",618,2,0,0,"BonavistaBay_2025-07"
"9242.250721134809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",621,2,0,0,"BonavistaBay_2025-07"
"9242.250721135309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",624,1,0,0,"BonavistaBay_2025-07"
"9242.250721135809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",628,7,0,0,"BonavistaBay_2025-07"
"9242.250721140309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",631,25,0,0,"BonavistaBay_2025-07"
"9242.250721140809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",635,44,0,0,"BonavistaBay_2025-07"
"9242.250721141309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",638,0,0,NA,"BonavistaBay_2025-07"
"9242.250721141809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",641,3,0,0,"BonavistaBay_2025-07"
"9242.250721142309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",645,3,0,0,"BonavistaBay_2025-07"
"9242.250721142809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",648,4,0,0,"BonavistaBay_2025-07"
"9242.250721143309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",651,2,0,0,"BonavistaBay_2025-07"
"9242.250721143809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",654,0,0,NA,"BonavistaBay_2025-07"
"9242.250721144309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",659,2,0,0,"BonavistaBay_2025-07"
"9242.250721144809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",663,0,0,NA,"BonavistaBay_2025-07"
"9242.250721145309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",666,2,0,0,"BonavistaBay_2025-07"
"9242.250721145809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",669,1,0,0,"BonavistaBay_2025-07"
"9242.250721150309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",673,1,0,0,"BonavistaBay_2025-07"
"9242.250721150809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",676,9,0,0,"BonavistaBay_2025-07"
"9242.250721151309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",681,22,0,0,"BonavistaBay_2025-07"
"9242.250721151809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",685,40,0,0,"BonavistaBay_2025-07"
"9242.250721152309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",688,13,0,0,"BonavistaBay_2025-07"
"9242.250721152809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",691,32,0,0,"BonavistaBay_2025-07"
"9242.250721153309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",696,35,0,0,"BonavistaBay_2025-07"
"9242.250721153809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",700,31,0,0,"BonavistaBay_2025-07"
"9242.250721154309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",703,23,0,0,"BonavistaBay_2025-07"
"9242.250721154809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",707,0,0,NA,"BonavistaBay_2025-07"
"9242.250721155309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",711,2,0,0,"BonavistaBay_2025-07"
"9242.250721155809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",714,3,0,0,"BonavistaBay_2025-07"
"9242.250721160309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",718,15,0,0,"BonavistaBay_2025-07"
"9242.250721160809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",722,4,0,0,"BonavistaBay_2025-07"
"9242.250721161309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",725,6,0,0,"BonavistaBay_2025-07"
"9242.250721161809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",728,3,0,0,"BonavistaBay_2025-07"
"9242.250721162309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",731,12,0,0,"BonavistaBay_2025-07"
"9242.250721162809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",735,8,0,0,"BonavistaBay_2025-07"
"9242.250721163309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",739,10,0,0,"BonavistaBay_2025-07"
"9242.250721163809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",743,2,0,0,"BonavistaBay_2025-07"
"9242.250721164309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",746,1,0,0,"BonavistaBay_2025-07"
"9242.250721164809.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",749,1,0,0,"BonavistaBay_2025-07"
"9242.250721165309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",753,2,0,0,"BonavistaBay_2025-07"
"9242.250721165809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",756,17,0,0,"BonavistaBay_2025-07"
"9242.250721170309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",760,21,0,0,"BonavistaBay_2025-07"
"9242.250721170809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",765,16,0,0,"BonavistaBay_2025-07"
"9242.250721171309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",769,9,0,0,"BonavistaBay_2025-07"
"9242.250721171809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",772,13,0,0,"BonavistaBay_2025-07"
"9242.250721172309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",777,11,0,0,"BonavistaBay_2025-07"
"9242.250721172809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",780,13,0,0,"BonavistaBay_2025-07"
"9242.250721173309.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",784,27,0,0,"BonavistaBay_2025-07"
"9242.250721173809.wav","Audio",5M 0S,1,0.1,"no","2","12","Succeeded",787,29,0,0,"BonavistaBay_2025-07"
"9242.250721174309.wav","Audio",4M 59S,1,0.1,"no","2","12","Succeeded",791,12,0,0,"BonavistaBay_2025-07"
